"username","sID","scID","other"
"ayushb","125","1","test sol1 cat 1 other"
"ayushb","126","15","test sol2 cat 15 other"
"eschare","5","2","recommended website "
"eschare","7","2","try the alzheimer store"
"eschare","8","4","let patient see their dog"
"eschare","9","1","message board"
"eschare","16","9","obtain a waiver for medicaid"
"eschare","31","3","The umbrella of Alzheimer "
"eschare","32","2","Read the Alzheimer Action Plan"
"eschare","36","3","encouragement of caregiver"
"eschare","37","3","encouragement of caregiver"
"eschare","42","9","patient can only withdraw money when you are with them"
"eschare","43","9","pay bills together"
"eschare","45","11","have neighbors monitor your parents caregiver "
"eschare","46","14","play music from the patients era"
"eschare","53","10","put pictures outside of his door of himself so he knows it is his room"
"eschare","57","8","baby gates can be hazardous to patient"
"eschare","58","8","install a lock on the breaker box"
"eschare","59","4","Severely demented individuals could not pull this off"
"eschare","63","12","in public come up with excuses when patient confronts someone randomly"
"eschare","68","2","A Place For Mom organization"
"eschare","70","4","Have the store keep a tab of all of the stolen things"
"eschare","72","3","Do exercises with the patient"
"eschare","74","3","needs support"
"eschare","76","3","remember its the disease not him"
"eschare","78","4","be sure to monitor their drinking as well as their eating"
"eschare","81","4","give many nutritious snacks throughout the day"
"eschare","86","12","Find Nighttime Adult Day Care Centers"
"eschare","87","1","Alert your local police of the situation"
"eschare","87","8","Remove the phone from the house"
"eschare","88","2","Buy a keypad lock from home depot"
"eschare","93","9","do the finances with the patient until they no longer have the ability "
"eschare","96","12","When in public put a button on him that says he has dementia."
"eschare","98","8","Never leave the patient in the car alone."
"eschare","99","14","patients often confuse the same person for multiple people"
"eschare","102","1","Contact the staff at the assisted care facility to find out their suggestions. "
"eschare","103","14","make copies of all important documents"
"eschare","104","4","they just have their days and nights mixed up"
"eschare","110","13","Go with patient into the bathroom"
"eschare","111","13","change out trash bag everyday"
"eschare","117","10","Talk to staff about that decision"
"eschare","118","4","patient should tell significant others of their disease"
"eschare","119","7","writing the doctor a letter of what is really going on is an option"
"eschare","121","1","Contact Home Instead or Caregivers of America"
"eschare","122","10","Put a picture of herself that she recognizes on her door. "
"eschare","125","14","Patients can forget they are not supposed to drink"
"eschare","126","1","Contact the Drug and Alcohol office in your community"
"eschare","127","4","Limit the patient but find good alternatives to the things they want as well."
"eschare","130","8","remove car from premises"
"eschare","131","10","start to consider other options for patient"
"eschare","132","11","Patient can be taken care of by siblings while you are gone"
"eschare","135","15","tell patient the medication is for something else"
"eschare","136","1","Contact your local Alzheimer chapter"
"eschare","136","2","Read Living Your Best With Early Stage Alzheimer by Lisa Snyder"
"eschare","145","11","excuses for in home care so that patient accepts it"
"eschare","146","14","show patient old pictures and ask her about yourself in the photo"
"eschare","147","2","Read the Alzheimer Action Plan by Gwyther "
"eschare","147","4","validate patients concerns"
"eschare","150","2","Read a book called Still Alice by Lisa Genova"
"eschare","152","11","introduce part time as a friend for the patient"
"eschare","158","11","privately hire someone"
"eschare","161","4","having a steady quiet time helps patients to relax"
"eschare","162","5","suggests zoloft to replace xanax"
"eschare","163","5","suggests zoloft instead of xanax"
"eschare","170","7","was there a reason she refused blood work?"
"eschare","172","7","take patient to the ER immediately"
"eschare","185","14","repeat answer over and over"
"eschare","188","12","art activities, board games"
"eschare","189","1","be sure patient has a living will"
"eschare","194","5","validate concerns"
"eschare","197","10","tell patient the doctor insists she stays in the facility"
"eschare","198","11","fix problems yourself do not just criticize patient"
"eschare","199","2","ask librarian about a few New berry award winners"
"eschare","199","12","do puzzles and crosswords with her "
"eschare","201","14","validate concerns"
"eschare","205","1","Home Alone and Caregivers of America"
"eschare","206","4","try to figure out what is causing the tick"
"eschare","207","4","have activities to distract patient with on hand"
"eschare","209","11","always have activities for the person to perform"
"eschare","210","3","be as creative as you can while distracting them"
"eschare","215","1","call local caregivers of america"
"eschare","216","12","ask the day care"
"eschare","221","5","discuss her anxiety with a doctor"
"eschare","221","14","write notes because verbal communication will be forgotten"
"eschare","222","13","buy multiple sets of the same clothes that they like"
