"username","sID","category","subCategory"
"ayushb","1","2","e"
"ayushb","125","1","f"
"ayushb","125","1","g"
"eschare","1","2","c"
"eschare","2","2","c"
"eschare","3","2","c"
"eschare","4","2","c"
"eschare","4","8","g"
"eschare","6","1","a"
"eschare","7","1","a"
"eschare","10","4","a"
"eschare","10","14","b"
"eschare","10","14","g"
"eschare","11","2","c"
"eschare","11","14","b"
"eschare","12","2","g"
"eschare","13","2","c"
"eschare","13","14","b"
"eschare","13","14","e"
"eschare","13","14","g"
"eschare","14","8","i"
"eschare","15","8","e"
"eschare","16","11","b"
"eschare","17","2","a"
"eschare","17","2","d"
"eschare","17","3","d"
"eschare","18","2","a"
"eschare","18","2","g"
"eschare","18","6","a"
"eschare","18","14","g"
"eschare","19","2","f"
"eschare","20","14","c"
"eschare","20","14","e"
"eschare","21","2","g"
"eschare","21","4","d"
"eschare","22","1","a"
"eschare","22","2","c"
"eschare","22","10","c"
"eschare","22","10","g"
"eschare","23","2","c"
"eschare","23","7","j"
"eschare","24","10","a"
"eschare","24","10","i"
"eschare","25","2","c"
"eschare","25","7","b"
"eschare","26","1","e"
"eschare","26","7","c"
"eschare","27","1","a"
"eschare","28","2","g"
"eschare","29","2","c"
"eschare","29","8","h"
"eschare","30","15","b"
"eschare","30","15","c"
"eschare","32","7","c"
"eschare","32","7","d"
"eschare","33","2","g"
"eschare","33","7","b"
"eschare","33","15","b"
"eschare","33","15","c"
"eschare","34","2","c"
"eschare","35","2","g"
"eschare","35","3","c"
"eschare","35","3","d"
"eschare","37","3","d"
"eschare","37","3","f"
"eschare","38","2","c"
"eschare","39","1","d"
"eschare","40","2","g"
"eschare","41","1","a"
"eschare","41","1","c"
"eschare","42","1","e"
"eschare","44","1","d"
"eschare","44","1","e"
"eschare","45","2","g"
"eschare","46","5","a"
"eschare","46","14","e"
"eschare","47","13","b"
"eschare","47","13","e"
"eschare","48","2","g"
"eschare","48","3","b"
"eschare","49","7","c"
"eschare","49","7","g"
"eschare","50","1","a"
"eschare","50","10","c"
"eschare","51","1","a"
"eschare","51","2","a"
"eschare","51","2","d"
"eschare","51","8","d"
"eschare","51","8","e"
"eschare","52","8","d"
"eschare","54","7","c"
"eschare","55","13","e"
"eschare","56","2","g"
"eschare","56","7","b"
"eschare","56","7","d"
"eschare","57","2","g"
"eschare","60","10","b"
"eschare","61","5","d"
"eschare","62","10","c"
"eschare","64","6","a"
"eschare","64","14","b"
"eschare","64","14","e"
"eschare","65","14","b"
"eschare","66","6","a"
"eschare","66","14","b"
"eschare","66","14","g"
"eschare","67","2","g"
"eschare","69","1","b"
"eschare","70","2","c"
"eschare","71","7","j"
"eschare","71","10","c"
"eschare","71","11","b"
"eschare","72","3","b"
"eschare","73","1","a"
"eschare","73","7","b"
"eschare","75","2","c"
"eschare","76","5","d"
"eschare","77","2","g"
"eschare","77","14","d"
"eschare","78","15","c"
"eschare","79","7","b"
"eschare","79","7","i"
"eschare","79","15","c"
"eschare","80","7","b"
"eschare","82","4","a"
"eschare","83","5","d"
"eschare","84","5","d"
"eschare","85","3","b"
"eschare","86","12","a"
"eschare","89","14","e"
"eschare","90","2","g"
"eschare","91","1","a"
"eschare","91","4","a"
"eschare","92","2","g"
"eschare","94","4","b"
"eschare","95","7","c"
"eschare","95","7","e"
"eschare","95","15","d"
"eschare","97","14","e"
"eschare","98","2","e"
"eschare","98","10","g"
"eschare","98","12","a"
"eschare","100","2","c"
"eschare","101","10","b"
"eschare","101","10","d"
"eschare","103","14","f"
"eschare","105","2","g"
"eschare","105","4","d"
"eschare","106","3","b"
"eschare","107","2","g"
"eschare","108","1","a"
"eschare","109","1","d"
"eschare","112","2","g"
"eschare","113","2","g"
"eschare","114","2","c"
"eschare","114","6","a"
"eschare","115","2","g"
"eschare","115","5","e"
"eschare","116","1","d"
"eschare","117","10","d"
"eschare","119","7","d"
"eschare","121","1","c"
"eschare","123","2","c"
"eschare","124","2","g"
"eschare","126","1","a"
"eschare","128","2","c"
"eschare","128","2","g"
"eschare","129","8","g"
