Problem,Hunter(hkroger),Snehal,Emma(eschare)
1,10,9,10
2,2,2,2
3,6,6,6
4,3,2,6
5,3,6,3
6,6,10,6
7,9,1,8
8,6,6,6
9,6,6,6
10,7,7,7
11,5,5,5
12,6,7,6
13,8,8,2
14,1,1,1
15,6,6,6
16,6,6,6
17,7,7,7
18,9,9,10
19,1,1,1
20,6,7,7
21,6,6,6
22,6,7,6
23,6,1,6
24,6,4,4
25,9,9,9
26,6,6,6
27,5,5,5
28,9,9,9
29,6,6,6
30,10,10,10
31,2,8,6
32,4,4,4
33,6,6,6
34,9,9,9
35,6,1,1
36,5,5,5
37,7,6,7
38,5,5,1
39,3,10,6
40,8,5,5
41,5,5,5
42,6,6,6
43,3,3,3
44,9,1,6
45,3,3,3
46,7,1,7
47,9,1,9
48,2,2,2
49,3,1,3
50,7,10,7
51,6,5,5
52,7,1,9
53,6,9,6
54,2,2,2
55,8,8,8
56,2,6,6
57,2,5,2
58,7,10,7
59,7,7,6
60,2,2,2
61,6,8,6
62,9,9,9
63,6,2,6
64,6,2,6
65,1,1,1
66,6,6,2
67,6,6,6
68,6,6,6
69,3,6,3
70,6,2,2
71,2,2,6
72,6,2,2
73,6,6,6
74,2,2,2
75,6,6,6
76,2,9,2
77,2,2,2
78,6,6,6
79,6,6,6
80,3,3,3
81,10,9,1
82,5,5,2
83,6,6,6
84,10,10,6
85,9,9,9
86,4,4,4
87,5,5,5
88,9,9,9
89,8,8,1
90,7,10,9
91,2,2,2
92,2,2,2
93,9,9,9
94,9,9,9
95,9,6,6
96,6,6,7
97,7,7,7
98,6,2,7
99,11,11,6
100,6,6,6
101,7,10,7
102,7,6,6
103,2,2,2
104,2,2,2
105,2,2,2
106,10,9,9
107,9,9,9
108,10,10,10
109,6,6,6
110,7,6,7
111,6,6,6
112,11,10,10
113,9,2,9
114,6,6,6
115,10,8,1
116,6,6,6
117,6,6,6
118,10,6,1
119,2,9,9
120,9,9,9
121,6,6,6
122,6,6,8
123,7,7,7
124,9,9,9
125,5,5,8
126,4,4,4
127,6,6,8
128,10,1,10
129,5,5,8
130,2,2,2
131,10,6,6
132,8,1,1
133,9,9,5
134,2,2,9
135,5,5,1
136,7,7,7
137,1,1,1
138,2,2,2
139,6,6,6
140,2,6,6
141,6,6,6
142,6,10,10
143,9,1,1
144,9,9,9
145,10,9,10
146,9,9,9
147,6,9,6
148,6,6,6
149,6,2,6
150,9,9,1
151,6,2,6
152,3,2,3
153,6,6,6
154,6,6,6
155,6,6,6
156,6,8,8
157,7,7,7
158,9,9,9
159,6,6,6
160,7,7,6
161,6,6,6
162,7,7,7
163,2,2,9
164,1,1,1
165,9,9,9
166,5,5,5
167,6,6,6
168,6,1,6
169,8,2,9
170,2,8,2
171,9,9,9
172,3,3,3
173,2,1,2
174,9,9,1
175,6,7,1
176,6,6,6
177,2,2,2
178,10,9,10
179,2,2,9
180,9,9,9
181,7,7,7
182,7,7,6
183,6,6,6
184,3,3,3
185,9,9,9
186,6,6,6
187,4,4,10
188,6,6,6
189,6,6,6
190,2,2,2
191,7,7,7
192,6,6,6
193,6,6,6
194,9,9,9
195,6,6,6
196,6,6,6
197,9,9,9
198,7,10,6
199,9,9,9
200,9,9,6
201,4,6,4
202,3,10,10
203,6,1,1
204,1,1,1
205,3,3,3
206,2,1,1
207,4,4,4
208,9,9,9
209,9,9,9
210,1,1,1
211,7,7,7
212,3,3,3
213,4,4,4
214,2,2,2
215,6,1,2
216,2,2,9
217,9,2,9
218,9,9,10
219,9,9,9
220,3,3,3
221,10,10,10
222,8,2,2
223,6,6,6
224,6,6,6
225,6,6,6
226,6,2,6
227,7,7,6
228,9,9,9
229,3,2,3
230,6,6,6
231,3,3,3
232,9,9,9
233,7,7,7
234,9,2,9
235,9,5,9
236,6,2,1
237,2,2,9
238,7,7,6
239,2,2,2
240,1,6,6
241,6,6,6
242,9,1,9
243,7,7,7
244,3,3,3
245,10,6,10
246,4,4,4
247,6,6,6
248,4,4,4
249,7,7,7
250,3,3,3
251,3,3,3
252,2,2,2
253,9,9,9
254,1,1,6
255,1,11,1
256,2,2,2
257,10,10,10
258,6,6,6
259,6,9,6
260,10,10,10
261,5,5,5
262,5,5,5
263,6,6,6
264,1,9,1
265,8,8,8
266,5,5,5
267,7,7,7
268,4,2,4
269,6,7,6
270,6,1,9
271,6,7,6
272,6,6,6
273,5,5,5
274,6,6,6
275,9,9,9
276,6,6,6
277,6,6,2
278,3,3,3
279,8,8,1
280,4,4,4
281,6,1,1
282,9,2,9
283,2,2,1
284,6,6,6
285,10,10,6
286,9,2,2
287,6,6,6
288,10,6,2
289,2,5,2
290,2,2,2
291,1,1,1
292,2,9,8
293,9,9,9
294,6,6,6
295,3,10,3
296,3,9,9
297,7,7,7
298,9,10,4
299,9,9,9
300,9,9,9
301,6,6,6
302,6,6,6
303,6,6,6
304,5,9,9
305,6,1,2
306,6,6,2
307,6,6,6
308,2,1,1
309,3,3,3
310,5,5,5
311,2,1,1
312,4,4,4
313,10,10,10
314,5,5,5
315,2,9,2
316,1,1,6
317,6,6,6
318,6,6,6
319,6,2,6
320,9,9,9
321,10,10,10
322,7,7,7
323,5,2,2
324,2,1,9
325,2,2,2
326,6,6,6
327,6,10,10
328,6,10,10
329,10,10,1
330,2,8,2
331,10,10,10
332,6,6,6
333,2,2,6
334,7,7,7
335,10,10,10
336,6,6,6
337,7,7,6
338,2,2,2
339,6,6,6
340,9,9,9
341,10,9,9
342,6,6,6
343,1,9,10
344,5,5,5
345,6,6,6
346,6,2,6
347,3,3,3
348,10,10,10
349,10,10,10
350,5,5,2
351,8,8,1
352,2,10,10
353,7,10,9
354,6,6,6
355,9,9,1
356,7,6,7
357,9,9,2
358,6,6,6
359,1,1,1
360,6,6,6
361,9,9,9
362,6,10,1
363,1,1,1
364,6,4,6
365,5,5,5
366,1,1,1
367,6,6,6
368,6,7,6
369,4,2,6
370,1,1,1
371,9,8,2
372,3,3,3
373,2,2,6
374,6,6,6
375,2,2,2
376,7,10,7
377,3,3,3
378,5,5,5
379,5,5,5
380,6,6,6
381,6,6,6
382,9,6,2
383,6,6,6
384,6,6,7
385,4,4,4
386,6,10,6
387,9,9,9
388,6,2,1
389,6,1,1
390,1,1,1
391,6,6,6
392,6,6,6
393,6,10,10
394,6,6,6
395,9,9,1
396,9,1,1
397,6,10,9
398,8,2,2
399,9,9,9
400,3,10,3
401,3,3,3
402,5,5,5
403,7,7,7
404,3,3,3
405,3,3,3
406,3,3,3
407,6,6,6
408,3,6,3
409,3,3,3
410,6,2,7
411,6,6,1
412,10,9,9
413,3,3,3
414,7,7,7
415,6,6,6
416,3,3,3
417,10,10,10
418,5,1,5
419,9,9,9
420,2,5,2
421,6,6,6
422,3,3,6
423,6,6,6
424,5,5,5
425,1,6,10
426,6,6,6
427,5,5,5
428,6,6,6
429,6,10,1
430,6,6,6
431,9,2,1
432,3,7,3
433,7,7,7
434,10,9,10
435,9,5,9
436,6,6,6
437,2,2,2
438,1,5,1
439,9,2,8
440,9,9,9
441,6,6,10
442,6,6,6
443,8,6,8
444,7,7,7
445,6,6,6
446,5,5,5
