Soltuion,Hunter(hkroger),Snehal,Emma(eschare)
7.1,2,2,4
8.1,2,2,2
9.1,2,4,2
10.1,7,7,2
10.2,7,3,7
11.1,1,2,1
12.1,1,7,2
13.1,3,4,4
14.1,2,2,2
15.1,3,3,3
15.2,2,4,4
16.1,2,2,2
16.2,2,4,4
17.1,7,3,3
17.2,7,7,7
18.1,2,8,8
19.1,3,3,2
19.2,2,2,4
20.1,2,2,2
21.1,3,4,4
22.1,2,3,2
23.1,1,2,2
24.1,2,5,2
25.1,2,8,8
26.1,5,5,5
27.1,5,3,1
27.2,1,1,1
28.1,2,2,2
29.1,2,7,7
29.2,5,3,6
30.1,2,3,2
31.1,3,3,5
32.1,5,5,5
33.1,2,2,2
34.1,2,3,8
35.1,3,3,3
35.2,3,3,3
35.3,2,3,2
36.1,1,1,1
37.1,2,2,2
38.1,1,1,1
40.1,3,3,3
40.2,3,3,3
40.3,1,1,1
41.1,2,3,3
42.1,4,4,4
43.1,3,9,3
43.2,2,4,9
44.1,8,8,8
45.1,1,8,8
46.1,2,3,7
47.1,3,7,3
47.2,4,4,8
48.1,5,5,5
49.1,3,3,3
49.2,2,5,3
50.1,2,3,7
50.2,3,3,7
51.1,3,3,4
52.1,7,8,8
53.1,5,5,5
54.1,3,8,3
55.1,3,3,3
56.1,3,4,4
56.2,3,3,3
56.3,3,4,3
59.1,2,2,2
60.1,2,8,2
60.2,3,3,3
61.1,3,3,2
62.1,8,3,8
63.1,3,4,3
64.1,1,5,5
65.1,2,3,2
66.1,2,2,2
66.2,3,3,5
67.1,2,3,2
68.1,3,3,6
68.2,3,3,3
68.3,3,3,5
68.4,2,3,2
68.5,3,3,3
69.1,3,3,3
69.2,3,3,6
69.3,4,4,4
69.4,2,8,8
70.1,3,4,3
70.2,7,7,7
70.3,1,1,7
70.4,2,1,7
71.1,1,4,4
72.1,3,3,3
72.2,3,3,3
72.3,3,4,4
72.4,5,6,5
73.1,3,4,3
73.2,3,3,4
74.1,8,8,8
75.1,3,3,3
75.2,2,3,2
76.1,8,8,8
77.1,8,3,8
78.1,4,3,7
79.1,3,3,3
79.2,2,2,2
80.1,4,4,4
80.2,2,2,9
81.1,1,1,1
82.1,1,1,1
83.1,3,3,3
83.2,3,3,3
83.3,2,2,2
84.1,2,2,2
85.1,2,4,4
86.1,2,2,2
87.1,1,3,1
88.1,3,3,8
89.1,3,3,3
91.1,5,4,5
92.1,2,4,1
94.1,1,1,1
95.1,4,4,8
96.1,2,3,2
97.1,2,2,2
98.1,3,3,3
98.2,1,1,1
100.1,4,3,3
100.2,2,2,3
101.1,7,3,7
101.2,7,3,7
102.1,2,8,2
103.1,3,3,3
103.2,3,3,3
103.3,3,3,8
104.1,2,4,4
105.1,2,2,2
106.1,5,6,5
107.1,1,1,1
108.1,1,2,2
109.1,3,6,6
109.2,5,5,5
111.1,2,2,2
111.2,2,2,2
112.1,1,1,1
113.1,3,4,8
114.1,4,4,4
115.1,2,3,5
116.1,1,2,1
117.1,4,3,3
118.1,2,2,2
118.2,5,5,3
119.1,3,4,4
120.1,1,1,1
121.1,2,2,2
122.1,4,4,3
122.2,2,3,2
123.1,7,2,3
124.1,8,3,3
124.2,1,1,1
125.1,1,1,1
126.1,3,3,3
126.2,3,3,3
126.3,3,3,3
126.4,3,3,3
126.5,5,5,5
127.1,2,4,4
128.1,2,2,2
129.1,3,3,3
129.2,1,1,1
130.1,2,3,4
130.2,1,4,4
131.1,5,5,5
131.2,2,4,4
132.1,8,8,8
132.2,1,1,1
133.1,3,3,3
133.2,1,1,1
134.1,1,8,8
135.1,1,2,1
136.1,2,2,2
137.1,1,1,1
137.2,2,3,3
139.1,2,4,2
139.2,3,4,3
140.1,4,4,3
141.1,5,6,6
141.2,2,2,2
142.1,3,3,3
143.1,3,3,5
144.1,1,2,1
145.1,2,2,2
146.1,2,3,3
147.1,5,3,6
147.2,4,4,4
148.1,5,5,5
149.1,2,4,4
150.1,3,4,4
151.1,3,3,4
153.1,3,3,3
154.1,2,2,3
155.1,4,4,4
156.1,4,4,4
156.2,4,4,4
157.1,7,7,7
158.1,1,1,1
159.1,3,3,3
159.2,3,3,4
160.1,2,2,2
161.1,3,3,3
161.2,3,3,3
162.1,3,7,7
162.2,7,7,7
163.1,8,8,8
164.1,1,3,1
165.1,8,1,1
166.1,1,1,1
