Problem/Soltuion,Number,# Category, Category
Problem,1,1,Emotional and physical problems
Problem,2,1,Emotional and physical problems
Problem,3,6,Symptoms
Problem,4,1,Emotional and physical problems
Problem,5,1,Emotional and physical problems
Problem,6,6,Symptoms
Problem,7,1,Emotional and physical problems
Solution,7.1,*,*
Problem,8,1,Emotional and physical problems
Solution,8.1,2,Informational Resources for Caregivers 
Problem,9,1,Emotional and physical problems
Solution,9.1,2,Informational Resources for Caregivers 
Problem,10,1,Emotional and physical problems
Solution,10.1,2,Informational Resources for Caregivers 
Problem,11,1,Emotional and physical problems
Solution,11.1,1,Contact Professional for Assistance
Problem,12,1,Emotional and physical problems
Solution,12.1,1,Contact Professional for Assistance
Problem,13,1,Emotional and physical problems
Solution,13.1,*,*
Problem,14,1,Emotional and physical problems
Solution,14.1,2,Informational Resources for Caregivers 
Problem,15,1,Emotional and physical problems
Solution,15.1,4,Patient's Well Being
Problem,16,6,Symptoms
Solution,16.1,2,Informational Resources for Caregivers 
Problem,17,1,Emotional and physical problems
Solution,17.1,8,Safety 
Problem,18,*,*
Solution,18.1,11,In Home Caregiving
Problem,19,1,Emotional and physical problems
Solution,19.1,2,Informational Resources for Caregivers 
Problem,20,7,Physical safety
Solution,20.1,2,Informational Resources for Caregivers 
Problem,21,1,Emotional and physical problems
Solution,21.1,14,Memory Problems from Patient
Problem,22,4,Medicines 
Solution,22.1,2,Informational Resources for Caregivers 
Problem,23,1,Emotional and physical problems
Solution,23.1,1,Contact Professional for Assistance
Problem,24,4,Medicines 
Solution,24.1,2,Informational Resources for Caregivers 
Problem,25,1,Emotional and physical problems
Solution,25.1,10,Assisted Care Facilities
Problem,26,4,Medicines 
Solution,26.1,2,Informational Resources for Caregivers 
Problem,27,1,Emotional and physical problems
Solution,27.1,7,Doctor Consultatations
Problem,28,9,doctors and nursing homes
Solution,28.1,2,Informational Resources for Caregivers 
Problem,29,1,Emotional and physical problems
Solution,29.1,2,Informational Resources for Caregivers 
Problem,30,10,General information 
Solution,30.1,2,Informational Resources for Caregivers 
Problem,31,1,Emotional and physical problems
Solution,31.1,2,Informational Resources for Caregivers 
Problem,32,1,Emotional and physical problems
Solution,32.1,2,Informational Resources for Caregivers 
Problem,33,6,Symptoms
Solution,33.1,2,Informational Resources for Caregivers 
Problem,34,9,doctors and nursing homes
Solution,34.1,2,Informational Resources for Caregivers 
Problem,35,1,Emotional and physical problems
Solution,35.1,3,Caregiver's Well Being
Problem,36,1,Emotional and physical problems
Solution,36.1,1,Contact Professional for Assistance
Problem,37,1,Emotional and physical problems
Solution,37.1,2,Informational Resources for Caregivers 
Problem,38,1,Emotional and physical problems
Solution,38.1,1,Contact Professional for Assistance
Problem,39,6,Symptoms
Problem,40,1,Emotional and physical problems
Solution,40.1,1,Contact Professional for Assistance
Problem,41,1,Emotional and physical problems
