Categories,,Problems
Emotional and physical problems,1a,"Guilt: about getting angry with patient, moving patient from their home, curbing their freedom"
,1b,Heartbroken 
,1c,Needs emotional support
,1d ,"Need to vent out, need to be listened to"
,1e,"loneliness, Keeping up the feel of still having a family and friends around, trying not to separate a couple from each other"
,1f,Maintaining relationships that break down due to stress
,1g,"Overwhelmed, burdened, stress, Inability to cope , helplessness"
,1h,"Frustration, demotivation, disappointment "
,1i,"depression, upset"
,1j,"Apprehension, worry, insecurity, fear,  concern"
,1k,"Burn out, saturation"
,1l,"Anger, hurt, hate"
,1m,"Confusion, doubts"
,1n,"Need for rest and vacation, need for relievers , support group"
,1o,Caregiver is too young
,1p,Caregiver's health is failing
,1q,Caregiver is also an Alzheimer's patient
,1r,Wanting to help
,1s,Embarrassment in public
,1t,Agitation of the patient 
,1u,insecurity of the patient 
,1v,fear of the patient
,1w,loneliness of the patient
,1x,Distress of patient 
,,
,,
,,
Conflicts,2a,Sharing responsibilities 
,2b,"Conflicts of opinion with family about what is the best decision for the patient with respect to treatment, where to live. How much authority does a POA have? "
,2c,Family members offer advice but no support
,2d,"Balancing family, career, social activities ,and caregiving"
,2e,"Unwillingness of patient to live with their children, or in care unit"
,2f,Adjustment problems when caregiver is forced to live with patient
,2g,Patient disturbs others living in the house
,2h,"Convincing patient that they have Alzheimer's, or the seriousness of their condition  and  that they need to seek treatment, take medicines and accept other help and protective measures"
,2i,"Family doesn't realize the patient has Alzheimer's, patient needs to convince them"
,2j,"unwillingness to engage in activities outside the home, even the ones which the patient has comitted to"
,,
,,
,,
,,
,,
,,
,,
,,
,,
Basic hygiene,3a, showering
,3b,"washing, changing clothes"
,3c,"Incontinence , issues using adult diapers"
,3d,using the toilet
,3e,Sorting out clean from dirty
,3f," quick measures for cleaning up the home, and the patient between baths."
,3g,"Personal grooming : shaving, haircut"
,,
Medicines ,4a,"Information about medicines, how and when they should be taken, continued or discontinued, can medicines be substituted . "
,4b,"Medication dispensers, Forgetting to take medicines, takes overdose"
,4c,"Fears about side effects of certain medications, fears regarding the use of hypnotics, anti-anxiety medication or anti-psychotics. information about non-drug therapies"
,4d,How to find cheaper medicines?
,4e,"Medication for depression, sleeping aids, hypothalamus gland (controls hunger), to slow progress of disease"
,4f,"Wanting reviews about particular medicines. Whether they are commonly used, and are they effective."
,,
,,
,,
,,
,,
Legal and financial ,5a,Protecting the patient financially from being taken advantage of by selfish family members and scammers.
,5b,Handling the patient's feelings of distrust toward the caregiver
,5c,Can a nursing home legally refuse a patient?
,5d,Caregiver is too young
,5e," How does Medicaid work, would it pay for hospice for a patient with vascular dementia"
,5f,"Need to cut costs, Patient has limited financial resources , needs financial aid, information about low cost options"
,5g,Protective laws for caregivers 
,5h,how to interfere in a patients personal legal/financial matters with the intention of taking over
,5i,Legal hassles about photographing patients to use as an aid in memory care center
,5j,how to get physician to recommend health care aid or assisted living to the patient's insurance company
,5k,need for legal advice on getting a legal gaurdian for patient
,5l,can the doctor take legal action if he suspects elder abuse?
,5m,"is it wise to get the name of the joint account holder   , who is the patient's caretaker, on the cheque book of the patient."
,5n,information about taking out line of credit to pay for patient's assisted living
,5o,needs to find an attorney who works with dementia patients to help a patient who has been abandoned by spouse.
,5p,"patient distrusts caregiver, therefore, should police be brought in for a welfare check"
,5q,how to handover the responsibility of caregiving
,5r,When do you get a POA and or conservatorship.
,5s,Legally paying family member for care that will not be questioned by Medicaid
,5t,Handling finances
,5u,getting an attorney who can work with alz patients
,,
,,
,,
,,
Symptoms,6a,"Hallucinations, OCD, irrational convictions , dreams, fears"
,6b,"Abnormal sleep habits: insomnia, sleeps at wrong times, sleeps all the time"
,6c,"Abnormal eating habits: eats inedible things, doesn't eat at all, eats all the time, eats only sweets"
,6d,"Differentiating between what is normal and abnormal behavior, Wanting to know whether a symptom is common or not"
